,IDfg,Name,Team,G,key_fangraphs,key_mlbam,key_bbref,key_retro
86,20126,Dylan Carlson,STL,149,20126.0,666185.0,carlsdy01,carld002
87,13338,Omar Narvaez,MIL,123,,,,
88,7802,Miguel Rojas,MIA,132,7802.0,500743.0,rojasmi02,rojam002
89,14894,Tony Kemp,OAK,131,14894.0,643393.0,kempto01,kempt001
90,16622,Luis Urias,MIL,150,,,,
91,5254,Robbie Grossman,DET,156,5254.0,543257.0,grossro01,grosr001
92,12916,Francisco Lindor,NYM,125,12916.0,596019.0,lindofr01,lindf001
93,15518,Amed Rosario,CLE,141,15518.0,642708.0,rosaram01,rosaa003
94,4949,Giancarlo Stanton,NYY,139,4949.0,519317.0,stantmi03,stanm004
95,11445,Mark Canha,OAK,141,11445.0,592192.0,canhama01,canhm001
96,13853,Joey Wendle,TBR,136,13853.0,621563.0,wendljo01,wendj002
97,13723,Jacob Stallings,PIT,112,,,,
98,9929,Darin Ruf,SFG,117,9929.0,573131.0,rufda01,ruf-d001
99,23667,Wander Franco,TBR,70,23667.0,677551.0,francwa01,franw002
100,5933,Jean Segura,PHI,131,5933.0,516416.0,segurje01,seguj002
101,15112,Ryan McMahon,COL,151,15112.0,641857.0,mcmahry01,mcmar001
102,9785,Kyle Seager,SEA,159,9785.0,572122.0,seageky01,seagk001
103,11038,Kevin Kiermaier,TBR,122,11038.0,595281.0,kiermke01,kierk001
104,12856,George Springer,TOR,78,12856.0,543807.0,springe01,sprig001
105,10950,Adam Duvall,- - -,146,10950.0,594807.0,duvalad01,duvaa001
106,19363,Austin Hays,BAL,131,19363.0,669720.0,haysau01,haysa001
107,9874,DJ LeMahieu,NYY,150,9874.0,518934.0,lemahdj01,lemad001
108,10155,Mike Trout,LAA,36,10155.0,545361.0,troutmi01,troum001
109,12546,C.J. Cron,COL,142,,,,
110,16472,Rhys Hoskins,PHI,107,16472.0,656555.0,hoskirh01,hoskr001
111,13602,Patrick Wisdom,CHC,106,13602.0,621550.0,wisdopa01,wisdp001
112,19470,Tommy Edman,STL,159,19470.0,669242.0,edmanto01,edmat001
113,16512,Isiah Kiner-Falefa,TEX,158,16512.0,643396.0,kineris01,kinei001
114,5038,Josh Donaldson,MIN,135,5038.0,518626.0,donaljo02,donaj001
115,19997,Santiago Espinal,TOR,92,19997.0,669289.0,espinsa01,espis001
116,14854,Mike Yastrzemski,SFG,139,14854.0,573262.0,yastrmi01,yastm001
117,10556,Cesar Hernandez,- - -,149,,,,
118,15351,Frank Schwindel,- - -,64,15351.0,643524.0,schwifr01,schwf001
119,15161,Mitch Garver,MIN,68,15161.0,641598.0,garvemi01,garvm001
120,4106,Michael Brantley,HOU,121,4106.0,488726.0,brantmi02,branm003
121,11609,Willson Contreras,CHC,128,11609.0,575929.0,contrwi01,contw001
122,17719,Steven Duggar,SFG,107,17719.0,621453.0,duggast01,duggs001
123,17901,Andrew Benintendi,KCR,134,17901.0,643217.0,beninan01,benia002
124,17128,Ramon Laureano,OAK,88,,,,
125,18564,Trent Grisham,SDP,132,18564.0,663757.0,grishtr01,grist001
126,10071,Jonathan Villar,NYM,142,10071.0,542340.0,villajo01,villj001
127,2434,Nelson Cruz,- - -,140,2434.0,443558.0,cruzne02,cruzn002
128,17988,Tyler Stephenson,CIN,132,17988.0,663886.0,stephty01,stept001
129,17678,Alex Bregman,HOU,91,17678.0,608324.0,bregmal01,brega001
130,17027,Alex Verdugo,BOS,146,17027.0,657077.0,verdual01,verda001
131,15672,Austin Meadows,TBR,142,15672.0,640457.0,meadoau01,meada001
132,19918,Daulton Varsho,ARI,95,19918.0,662139.0,varshda01,varsd001
133,19734,Josh Rojas,ARI,139,19734.0,668942.0,rojasjo01,rojaj001
134,5913,Leury Garcia,CHW,126,,,,
135,22168,Akil Baddoo,DET,124,22168.0,668731.0,baddoak01,badda001
136,19599,Chas McCormick,HOU,108,19599.0,676801.0,mccorch01,mccoc001
137,12144,Max Kepler,MIN,121,12144.0,596146.0,keplema01,keplm001
138,11489,Michael A. Taylor,KCR,142,,,,
139,15464,Hunter Renfroe,BOS,144,15464.0,592669.0,renfrhu01,renfh001
140,16153,Austin Slater,SFG,129,16153.0,596103.0,slateau01,slata001
141,16578,Yandy Diaz,TBR,134,16578.0,650490.0,diazya01,diazy001
142,18568,Luis Arraez,MIN,121,18568.0,650333.0,arraelu01,arral001
143,9077,Lorenzo Cain,MIL,78,9077.0,456715.0,cainlo01,cainl001
144,14735,Brett Phillips,TBR,119,14735.0,621433.0,phillbr02,philb002
145,9368,Evan Longoria,SFG,81,9368.0,446334.0,longoev01,longe001
146,13620,Carson Kelly,ARI,98,,,,
147,6310,Alcides Escobar,WSN,75,6310.0,444876.0,escobal02,escoa003
148,16997,Gleyber Torres,NYY,127,16997.0,650402.0,torregl01,torrg001
149,10323,Rafael Ortega,CHC,103,10323.0,542364.0,ortegra01,orter001
150,16219,J.D. Davis,NYM,73,,,,
151,18126,LaMonte Wade Jr.,SFG,109,,,,
152,17907,Brendan Rodgers,COL,102,17907.0,663898.0,rodgebr02,rodgb002
153,3473,Anthony Rizzo,- - -,141,3473.0,519203.0,rizzoan01,rizza001
154,18795,Ramon Urias,BAL,85,,,,
155,11680,Elias Diaz,COL,106,,,,
156,19566,Nathaniel Lowe,TEX,157,19566.0,663993.0,lowena01,lowen001
157,17022,Edmundo Sosa,STL,113,17022.0,624641.0,sosaed01,sosae001
158,14813,Kyle Farmer,CIN,147,14813.0,571657.0,farmeky01,farmk001
159,20454,Jazz Chisholm Jr.,MIA,124,,,,
160,9627,Yan Gomes,- - -,103,,,,
161,6609,Freddy Galvis,- - -,104,6609.0,520471.0,galvifr01,galvf001
162,18015,Paul DeJong,STL,113,18015.0,657557.0,dejonpa01,dejop001
163,19238,Lourdes Gurriel Jr.,TOR,141,,,,
164,13675,Tyrone Taylor,MIL,93,13675.0,621438.0,tayloty01,taylt002
165,7859,Charlie Blackmon,COL,150,7859.0,453568.0,blackch02,blacc001
166,11265,Jonathan Schoop,DET,156,11265.0,570731.0,schoojo01,schoj001
167,8202,Josh Harrison,- - -,138,8202.0,543281.0,harrijo05,harrj002
168,13836,Matt Duffy,CHC,97,13836.0,622110.0,duffyma01,duffm002
169,11477,Christian Yelich,MIL,117,11477.0,592885.0,yelicch01,yelic001
170,2829,Manny Pina,MIL,75,,,,
171,11442,Gary Sanchez,NYY,117,,,,
172,2967,Tommy Pham,SDP,155,2967.0,502054.0,phamth01,phamt001
173,18577,Ke'Bryan Hayes,PIT,96,18577.0,663647.0,hayeske01,hayek001
174,16572,Connor Joe,COL,63,16572.0,656582.0,joeco01,joe-c001
175,13145,Josh Bell,WSN,144,13145.0,605137.0,belljo02,bellj005
176,13359,Tyler Naquin,CIN,127,13359.0,571980.0,naquity01,naqut001
177,18373,Ryan Mountcastle,BAL,144,18373.0,663624.0,mountry01,mounr001
178,16535,Danny Jansen,TOR,70,,,,
179,10047,Wil Myers,SDP,146,10047.0,571976.0,myerswi01,myerw001
180,16403,Francisco Mejia,TBR,84,,,,
181,14712,Manuel Margot,TBR,125,14712.0,622534.0,margoma01,margm001
182,9927,Brett Gardner,NYY,140,9927.0,458731.0,gardnbr01,gardb001
183,14566,Franmil Reyes,CLE,115,14566.0,614177.0,reyesfr01,reyef001
184,20521,Nick Madrigal,CHW,54,20521.0,663611.0,madrini01,madrn001
185,17919,Ian Happ,CHC,148,17919.0,664023.0,happia01,happi001
186,18289,Brian Anderson,MIA,67,18289.0,605119.0,anderbr06,andeb006
187,15674,Reese McGuire,TOR,78,,,,
188,15082,Adam Engel,CHW,39,15082.0,641553.0,engelad01,engea001
189,11342,Jesus Aguilar,MIA,131,,,,
190,5827,Wilmer Flores,SFG,139,5827.0,527038.0,florewi01,florw001
191,9847,Andrew McCutchen,PHI,144,9847.0,457705.0,mccutan01,mccua001
192,16434,Christian Arroyo,BOS,57,16434.0,624414.0,arroych01,arroc001
193,12160,Ben Gamel,- - -,122,12160.0,592325.0,gamelbe01,gameb001
194,19844,Abraham Toro,- - -,95,19844.0,647351.0,toroab01,toroa001
195,10200,Tucker Barnhart,CIN,116,10200.0,571466.0,barnhtu01,barnt001
196,15279,Garrett Cooper,MIA,71,15279.0,643265.0,coopega03,coopg002
197,8722,Jason Castro,HOU,66,,,,
198,20308,Jake Meyers,HOU,49,20308.0,676694.0,meyerja02,meyej002
199,18171,Seth Brown,OAK,111,18171.0,664913.0,brownse01,brows003
200,8623,Donovan Solano,SFG,101,8623.0,456781.0,solando01,solad001
201,2136,David Peralta,ARI,150,2136.0,444482.0,peralda01,perad001
202,11476,Odubel Herrera,PHI,124,,,,
203,19294,Nick Solak,TEX,127,19294.0,669256.0,solakni01,solan001
204,16221,Bradley Zimmer,CLE,99,16221.0,605548.0,zimmebr01,zimmb001
205,8709,Elvis Andrus,OAK,146,8709.0,462101.0,andruel01,andre001
206,16930,Jonah Heim,TEX,82,,,,
207,19452,Jake Rogers,DET,38,,,,
208,12775,Brad Miller,PHI,140,12775.0,543543.0,millebr02,millb002
209,18819,Andy Ibanez,TEX,76,18819.0,628451.0,ibanean01,ibana001
210,14111,Eric Haase,DET,98,14111.0,606992.0,haaseer01,haase001
211,10681,Gio Urshela,NYY,116,10681.0,570482.0,urshegi01,urshg001
212,15941,Austin Nola,SDP,56,15941.0,543592.0,nolaau01,nolaa002
213,10231,Jose Iglesias,- - -,137,10231.0,578428.0,iglesjo01,iglej001
214,19955,Gavin Lux,LAD,102,19955.0,666158.0,luxga01,lux-g001
215,20202,Brandon Marsh,LAA,70,20202.0,669016.0,marshbr02,marsb002
216,7007,Yadier Molina,STL,121,7007.0,425877.0,molinya01,moliy001
217,13499,Tom Murphy,SEA,97,,,,
218,16426,Thairo Estrada,SFG,52,16426.0,642731.0,estrath01,estrt001
219,5452,Ji-Man Choi,TBR,83,5452.0,596847.0,choiji01,choij001
220,12155,Eddie Rosario,- - -,111,12155.0,592696.0,rosared01,rosae001
221,15937,Aledmys Diaz,HOU,84,15937.0,649557.0,diazal02,diaza003
222,4418,Jed Lowrie,OAK,139,4418.0,476704.0,lowrije01,lowrj001
223,12325,Jace Peterson,MIL,94,12325.0,607054.0,peterja01,petej002
224,15730,Tyler Wade,NYY,103,15730.0,642180.0,wadety01,wadet002
225,13755,Tomas Nido,NYM,58,,,,
226,19600,Bryan De La Cruz,MIA,58,19600.0,650559.0,delacbr01,delab001
227,17710,Matt Beaty,LAD,120,17710.0,607461.0,beatyma01,beatm001
228,21479,Nico Hoerner,CHC,44,21479.0,663538.0,hoernni01,hoern001
229,10762,Corey Dickerson,- - -,109,10762.0,572816.0,dickeco01,dickc002
230,16376,Michael Conforto,NYM,125,16376.0,624424.0,confomi01,confm001
231,13743,Max Fried,ATL,32,,,,
232,12158,Austin Barnes,LAD,77,12158.0,605131.0,barneau01,barna001
233,19950,Andres Gimenez,CLE,68,,,,
234,19966,Bobby Dalbec,BOS,133,19966.0,666915.0,dalbebo01,dalbb001
235,22581,Alejandro Kirk,TOR,60,,,,
236,12861,Anthony Rendon,LAA,58,12861.0,543685.0,rendoan01,renda001
237,12434,Kevin Pillar,NYM,124,12434.0,607680.0,pillake01,pillk001
238,15038,German Marquez,COL,32,,,,
239,19913,Jesus Sanchez,MIA,64,,,,
240,19977,Tres Barrera,WSN,30,,,,
241,10954,Jacob deGrom,NYM,15,,,,
242,15149,Trey Mancini,BAL,147,15149.0,641820.0,mancitr01,manct001
243,21454,Lars Nootbaar,STL,58,21454.0,663457.0,nootbla01,nootl001
244,11899,Joc Pederson,- - -,137,11899.0,592626.0,pederjo01,pedej001
245,13769,Adalberto Mondesi,KCR,35,13769.0,609275.0,mondera02,mondr003
246,14551,Anthony Santander,BAL,110,14551.0,623993.0,santaan02,santa003
247,12552,Eugenio Suarez,CIN,145,,,,
248,11902,Hanser Alberto,KCR,103,11902.0,593643.0,alberha01,albeh001
249,3298,Charlie Culberson,TEX,91,3298.0,518586.0,culbech01,culbc001
250,7739,Travis d'Arnaud,ATL,60,,,,
251,24618,Ryan Jeffers,MIN,85,,,,
252,16375,Oscar Mercado,CLE,72,16375.0,640458.0,mercaos01,merco003
253,12282,Rougned Odor,NYY,102,12282.0,596059.0,odorro01,odorr001
254,15402,Jack Mayfield,- - -,87,15402.0,608686.0,mayfija01,mayfj001
255,5517,Kyle Higashioka,NYY,67,,,,
256,11400,Ronald Torreyes,PHI,112,11400.0,591720.0,torrero01,torrr001
257,12180,Jorge Alfaro,MIA,92,12180.0,595751.0,alfarjo01,alfaj002
258,27506,Ha-seong Kim,SDP,117,27506.0,673490.0,kimha01,kim-h002
259,16725,Jose Trevino,TEX,89,,,,
260,9952,Trayce Thompson,CHC,15,9952.0,572204.0,thomptr01,thomt002
261,10030,Chris Owings,COL,21,10030.0,572008.0,owingch01,owinc001
262,16623,Greg Allen,NYY,15,16623.0,656185.0,allengr01,alleg002
263,21558,Matt Vierling,PHI,34,21558.0,663837.0,vierlma01,vierm001
264,9433,Dustin Garneau,DET,20,,,,
265,16424,Jordan Luplow,- - -,62,16424.0,656669.0,luplojo01,luplj001
266,3142,Robinson Chirinos,CHC,45,,,,
267,17548,Taylor Ward,LAA,65,17548.0,621493.0,wardta01,wardt002
268,17954,Sam Hilliard,COL,81,17954.0,656541.0,hillisa01,hills005
269,16939,Lane Thomas,- - -,77,16939.0,657041.0,thomala02,thoml002
270,13807,Kevin Plawecki,BOS,64,,,,
271,19260,Jake Fraley,SEA,78,19260.0,641584.0,fraleja01,fralj001
272,14320,Wilmer Difo,PIT,116,14320.0,594694.0,difowi01,difow001
273,12371,Tommy La Stella,SFG,76,12371.0,600303.0,lasteto01,lastt001
274,21635,Nick Maton,PHI,52,21635.0,665155.0,matonni01,maton001
275,15055,Dom Nunez,COL,81,,,,
276,15794,Yonathan Daza,COL,107,15794.0,602074.0,dazayo01,dazay001
277,15362,Jeff McNeil,NYM,120,15362.0,643446.0,mcneije01,mcnej002
278,17273,Jorge Mateo,- - -,89,17273.0,622761.0,mateojo01,matej003
279,14691,Harold Castro,DET,106,14691.0,605612.0,castrha01,casth001
280,19262,Garrett Hampson,COL,147,19262.0,641658.0,hampsga01,hampg001
281,18721,Guillermo Heredia,ATL,120,18721.0,628338.0,heredgu01,hereg002
282,12510,Curt Casali,SFG,77,,,,
283,9774,Christian Vazquez,BOS,138,,,,
284,12859,James McCann,NYM,121,12859.0,543510.0,mccanja02,mccaj001
285,12981,Cam Gallagher,KCR,48,,,,
286,22458,Taylor Walls,TBR,54,22458.0,670764.0,wallsta01,wallt003
287,19432,Yonny Hernandez,TEX,43,19432.0,660634.0,hernayo02,herny003
288,19901,Gavin Sheets,CHW,54,19901.0,657757.0,sheetga01,sheeg001
289,12164,Miguel Sano,MIN,135,,,,
290,21614,Kyle Isbel,KCR,28,21614.0,664728.0,isbelky01,isbek001
291,14811,Luke Voit,NYY,68,14811.0,572228.0,voitlu01,voitl001
292,4220,Ryan Zimmerman,WSN,110,4220.0,475582.0,zimmery01,zimmr001
293,13768,Travis Jankowski,PHI,76,13768.0,608671.0,jankotr01,jankt001
294,15191,Chad Pinder,OAK,75,15191.0,640461.0,pindech01,pindc001
295,4579,Starlin Castro,WSN,87,4579.0,516770.0,castrst01,casts001
296,10243,Randal Grichuk,TOR,149,10243.0,545341.0,grichra01,gricr001
297,14350,Raimel Tapia,COL,133,14350.0,606132.0,tapiara01,tapir001
298,17766,D.J. Stewart,BAL,100,17766.0,621466.0,stewadj01,stewd002
299,14773,Yu Chang,CLE,89,14773.0,644374.0,changyu01,chany001
300,16357,Pablo Reyes,MIL,53,16357.0,622569.0,reyespa01,reyep001
301,16451,Luis Guillorme,NYM,69,16451.0,641645.0,guilllu01,guill001
302,20468,Huascar Ynoa,ATL,18,,,,
303,12972,Joe Ross,WSN,22,,,,
304,14765,Julio Urias,LAD,32,,,,
305,21538,Nick Fortes,MIA,14,,,,
306,19151,Estevan Florial,NYY,11,19151.0,664314.0,flories01,flore001
307,17452,Jose Siri,HOU,21,17452.0,642350.0,sirijo01,sirij001
308,20332,Luis Gonzalez,CHW,6,,,,
309,12547,John Hicks,TEX,10,,,,
310,13355,Luke Maile,MIL,15,,,,
311,22275,Jake Burger,CHW,15,22275.0,669394.0,burgeja01,burgj001
312,11379,Delino DeShields,CIN,25,11379.0,592261.0,deshide02,deshd002
313,22799,Geraldo Perdomo,ARI,11,22799.0,672695.0,perdoge01,perdg001
314,11615,Brandon Drury,NYM,51,11615.0,592273.0,drurybr01,drurb001
315,19610,Keibert Ruiz,- - -,29,,,,
316,17278,Bobby Bradley,CLE,74,17278.0,656252.0,bradlbo01,bradb002
317,14140,Jose Rondon,STL,63,,,,
318,19892,Pavin Smith,ARI,145,19892.0,656976.0,smithpa04,smitp002
319,15905,Luis Torrens,SEA,108,15905.0,620443.0,torrelu01,torrl001
320,19508,Kyle Lewis,SEA,36,19508.0,641786.0,lewisky01,lewik001
321,20325,Alex Kirilloff,MIN,59,20325.0,666135.0,kirilal01,kiria001
322,21622,Jake McCarthy,ARI,24,21622.0,664983.0,mccarja02,mccaj003
323,26197,Andrew Vaughn,CHW,127,26197.0,683734.0,vaughan01,vauga001
324,5222,Justin Upton,LAA,89,5222.0,457708.0,uptonju01,uptoj001
325,16947,Derek Hill,DET,49,16947.0,656537.0,hillde01,hilld002
326,15487,Victor Reyes,DET,76,15487.0,622682.0,reyesvi01,reyev001
327,13419,Christian Walker,ARI,115,13419.0,572233.0,walkech02,walkc002
328,12758,Breyvic Valera,TOR,39,12758.0,591971.0,valerbr01,valeb001
329,19348,DJ Peters,- - -,70,19348.0,656847.0,peterdj01,peted004
330,15654,Billy McKinney,- - -,116,15654.0,641856.0,mckinbi01,mckib001
331,16417,Sergio Alcantara,CHC,89,,,,
332,4940,Jason Heyward,CHC,104,4940.0,518792.0,heywaja01,heywj001
333,20352,Ernie Clement,CLE,40,20352.0,676391.0,clemeer01,cleme002
334,17992,David Fletcher,LAA,157,17992.0,664058.0,fletcda02,fletd002
335,10199,Billy Hamilton,CHW,71,10199.0,571740.0,hamilbi02,hamib001
336,17479,Jack Flaherty,STL,17,,,,
337,17696,Kevin Newman,PIT,148,17696.0,621028.0,newmake01,newmk001
338,21318,Tylor Megill,NYM,18,,,,
339,19316,Eric Lauer,MIL,26,,,,
340,4930,Jon Lester,- - -,30,,,,
341,8779,Wade Miley,CIN,30,,,,
342,17995,Logan Webb,SFG,28,,,,
343,16149,Aaron Nola,PHI,33,,,,
344,5524,Madison Bumgarner,ARI,28,,,,
345,20493,Seth Beer,ARI,5,20493.0,666179.0,beerse01,beers001
346,17893,Tyler Nevin,BAL,6,17893.0,663527.0,nevinty01,nevit001
347,19896,Connor Wong,BOS,6,,,,
348,21560,Alfonso Rivas III,CHC,18,21560.0,663845.0,rivasal01,rivaa001
349,17750,Max Schrock,CIN,53,17750.0,621011.0,schroma01,schrm001
350,18063,Kyle Garlick,MIN,36,18063.0,664247.0,garliky01,garlk001
351,19334,Yadiel Hernandez,WSN,112,,,,
352,17484,Eloy Jimenez,CHW,55,,,,
353,16285,Michael Hermosillo,CHC,16,16285.0,641684.0,hermomi01,hermm001
354,8418,Ehire Adrianza,ATL,109,8418.0,501303.0,adriaeh01,adrie001
355,12649,Alex Dickerson,SFG,111,12649.0,543105.0,dickeal01,dicka001
356,7476,Alex Avila,WSN,34,7476.0,488671.0,avilaal01,avila001
357,12858,Brian Goodwin,CHW,72,12858.0,571718.0,goodwbr01,goodb001
358,27459,Yoshi Tsutsugo,- - -,81,27459.0,660294.0,tsutsyo01,tsuty001
359,21501,Trevor Larnach,MIN,79,21501.0,663616.0,larnatr01,larnt001
360,17062,Grayson Greiner,DET,31,,,,
361,13593,Jose Peraza,NYM,64,,,,
362,12037,Jon Berti,MIA,85,12037.0,542932.0,bertijo01,bertj001
363,18042,Dylan Moore,SEA,126,18042.0,664238.0,mooredy01,moord002
364,13546,Roman Quinn,PHI,28,13546.0,596451.0,quinnro01,quinr003
365,17277,Ranger Suarez,PHI,39,,,,
366,18889,Danny Mendick,CHW,71,18889.0,664901.0,mendida01,mendd002
367,3184,David Price,LAD,39,,,,
368,6887,Martin Maldonado,HOU,125,,,,
369,20339,Matt Peacock,ARI,35,,,,
370,20287,Ben Rortvedt,MIN,39,,,,
371,2036,Clayton Kershaw,LAD,24,,,,
372,19291,Zac Gallen,ARI,23,,,,
373,14107,Kevin Gausman,SFG,34,,,,
374,4153,Jake Arrieta,- - -,25,,,,
375,12779,Andy Burns,LAD,9,12779.0,542992.0,burnsan01,burna003
376,19521,Andy Young,ARI,58,19521.0,670370.0,youngan02,youna003
377,7870,Jonathan Lucroy,- - -,7,,,,
378,18288,Austin Dean,STL,22,18288.0,621573.0,deanau01,deana001
379,17423,Yermin Mercedes,CHW,68,,,,
380,14130,Daniel Vogelbach,MIL,93,,,,
381,14329,Anthony Alford,PIT,49,14329.0,546990.0,alforan01,alfoa002
382,15482,Aristides Aquino,CIN,84,15482.0,606157.0,aquinar01,aquia001
383,20220,Jo Adell,LAA,35,20220.0,666176.0,adelljo01,adelj001
384,19698,Edward Olivares,KCR,39,19698.0,658668.0,olivaed02,olive001
385,10953,Phil Gosselin,LAA,104,,,,
386,13329,Jake Lamb,- - -,55,13329.0,571875.0,lambja01,lambj001
387,3648,Rene Rivera,- - -,25,,,,
388,16337,Nick Gordon,MIN,73,16337.0,624503.0,gordoni01,gordn001
389,14636,Webster Rivas,SDP,24,,,,
